"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Нажимаем сабмит без заполнения полей","528","Негативный тест: Попытка отправки формы с пустыми полями","tests.ui","Sun Jan 12 17:14:55 MSK 2025","passed","Sun Jan 12 17:14:56 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Отправляем POST-запрос с валидными данными и ожидаем статус 200.","425","Успешная отправка формы с валидными данными","tests.api","Sun Jan 12 17:14:22 MSK 2025","passed","Sun Jan 12 17:14:22 MSK 2025","TestFormAPI","API Тестирование формы","",""
"Вводим email, который должен считаться невалидным, но сайт ошибочно принимает его без валидации.","2453","Баг-репорт: ввод невалидного email, который система ошибочно принимает","tests.ui","Sun Jan 12 17:14:36 MSK 2025","passed","Sun Jan 12 17:14:38 MSK 2025","TestFormPage","Тестирование формы в дефолтном браузере","",""
"Отправляем GET-запрос и проверяем, что сервер отвечает статусом 200.","435","Проверка доступности страницы формы","tests.api","Sun Jan 12 17:14:21 MSK 2025","passed","Sun Jan 12 17:14:22 MSK 2025","TestFormAPI","API Тестирование формы","",""
"Заполняем поля очень длинными строками и нажимаем кнопку отправки.","614","Негативный тест: ввод большого количества символов в поля","tests.ui","Sun Jan 12 17:14:31 MSK 2025","passed","Sun Jan 12 17:14:32 MSK 2025","TestFormPage","Тестирование формы в дефолтном браузере","",""
"Заполняем форму валидными данными и нажимаем кнопку сабмит несколько раз подряд","615","Негативный тест: Многократное нажатие на кнопку отправки","tests.ui","Sun Jan 12 17:15:12 MSK 2025","passed","Sun Jan 12 17:15:12 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем все поля валидными данными, оставляем выпадающий список как есть, нажимаем сабмит","1072","Позитивный тест: Отправка формы с валидными данными (по умолчанию Offer)","tests.ui","Sun Jan 12 17:14:39 MSK 2025","passed","Sun Jan 12 17:14:40 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем все поля валидными данными, выбираем Discount, нажимаем сабмит","608","Позитивный тест: Отправка формы с валидными данными (Discount)","tests.ui","Sun Jan 12 17:15:09 MSK 2025","passed","Sun Jan 12 17:15:09 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Вводим email, который должен считаться невалидным, но сайт ошибочно принимает его без валидации.","2485","Баг-репорт: ввод невалидного email, который система ошибочно принимает","tests.ui","Sun Jan 12 17:14:48 MSK 2025","passed","Sun Jan 12 17:14:50 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем все поля валидными данными, оставляем выпадающий список как есть, нажимаем сабмит","3682","Позитивный тест: Отправка формы с валидными данными (по умолчанию Offer)","tests.ui","Sun Jan 12 17:15:04 MSK 2025","passed","Sun Jan 12 17:15:07 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
